"uid","recorduid","domainID","siteID","namedLocation","collectedBy","startDate","collectDate","streamStage","streamStageUnits","handheldDeviceID","velocitySensorID","filterParamTime","stationEntryTest","flowCalculation","waterEdge","totalDischarge","totalDischargeUnits","samplingProtocolVersion","averageVelocityUnits","waterDepthUnits","tapeDistanceUnits","flowCalcQF","dischargeUnitsQF","streamStageUnitsQF","averageVelocityUnitsQF","waterDepthUnitsQF","tapeDistanceUnitsQF","lowVelocityFinalQF","dataQF"
"7d36cd79-8c33-4f66-9f9f-b657f64c17b9","ad6512cb-6bd7-4ce0-8c4d-66ee18b7d631","D06","MCDI","MCDI.AOS.discharge","JKUKU","2018-10-19T16:20Z","2018-10-19T16:20Z",0.75,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",215.2,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter",0,0,0,0,0,0,0,NA
"d66e549b-df32-4e2e-babc-7a03fe7e57b0","86159700-7fd4-48b0-add9-1348d049a6c0","D06","MCDI","MCDI.AOS.discharge","EGAWANDA","2018-10-30T14:57Z","2018-10-30T14:57Z",0.69,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",109.5,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter",0,0,0,0,0,0,33,NA
"783bbf86-2df5-440b-8b5e-57546bd6009d","930a6d78-04a9-43ad-8f60-3a2bc4c1c52c","D06","MCDI","MCDI.AOS.discharge","EGAWANDA","2018-11-14T06:44Z","2018-11-14T06:44Z",0.64,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",42.2,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter",0,0,0,0,0,0,25,NA
"f7984bf9-fdec-454c-adfc-e408fdb05fac","3c9349d2-0381-4548-a84b-3f7be7aac7cd","D06","MCDI","MCDI.AOS.discharge","EGAWANDA","2018-11-14T06:44Z","2018-11-14T06:44Z",0.64,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",42.2,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter",0,0,0,0,0,0,25,NA
"2bf16a51-53a3-47ff-9bfb-d3fac92d3603","c62837e8-3807-4172-82d4-f6579879a360","D06","MCDI","MCDI.AOS.discharge","JKUKULSKI","2018-12-07T19:48Z","2018-12-07T19:48Z",0.72,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",215.9,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter",0,0,0,0,0,0,0,NA
"2d223c5e-55cb-4dd2-9f58-cb20a613b77d","82fa594a-186c-44f9-8c7f-55fc2c7698a8","D06","MCDI","MCDI.AOS.discharge","EGAWANDA","2018-12-11T17:56Z","2018-12-11T17:56Z",0.69,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",162.9,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter",0,0,0,0,0,0,5,NA
"1957667b-e864-459e-a289-347cf39f8a08","ee212285-271e-4898-9e6d-bb33d752ca2b","D06","MCDI","MCDI.AOS.discharge","EGAWANDA","2019-01-07T17:16Z","2019-01-07T17:16Z",0.69,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",142.3,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter",0,0,0,0,0,0,15,NA
"5859595f-ea3a-4983-a12a-22bda02c1c35","7d0264c1-1a01-4cf4-9ef3-f349b26d6401","D06","MCDI","MCDI.AOS.discharge","JKUKULSKI","2019-01-24T20:14Z","2019-01-24T20:14Z",0.69,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",131,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter",0,0,0,0,0,0,0,NA
"dba168bb-5b62-4e8c-a003-454bd44d9c79","af7fbcf4-8171-4700-a88b-1a6e727e0a98","D06","MCDI","MCDI.AOS.discharge","JKUKU","2019-05-15T15:21Z","2019-05-15T15:21Z",0.94,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",287,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter",0,0,0,0,0,0,0,NA
"078edcee-f59e-4bd1-9c3c-5618aeda9fa4","b757e6ef-7b67-4add-b364-52cab356faf0","D06","MCDI","MCDI.AOS.discharge","EGAWANDA","2019-06-10T16:24Z","2019-06-10T16:24Z",0.28,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",125.2,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter",0,0,0,0,0,0,4,NA
"b4a7b0b9-f3d6-4a06-be34-84ee02f0782d","2ac434df-b3ce-43ce-a287-fe41a1258c05","D06","MCDI","MCDI.AOS.discharge","JKUKU","2019-07-01T16:45Z","2019-07-01T16:45Z",0.75,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",149.1,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter",0,0,0,0,0,0,0,NA
"6312deff-8bd3-452a-8e20-6b2634984c78","a369893c-7d6f-4b95-bfbc-da57d306862e","D06","MCDI","MCDI.AOS.discharge","JKUKU","2019-07-09T15:36Z","2019-07-09T15:36Z",0.77,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",164.3,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter",0,0,0,0,0,0,0,NA
"3bc0e756-0be7-4ebe-b964-63ececa1afa0","c54c670b-118f-4235-8ba1-89e3ad28c360","D06","MCDI","MCDI.AOS.discharge","EGAWANDA","2019-07-15T14:49Z","2019-07-15T14:49Z",0.71,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",68.16,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter",0,0,0,0,0,0,0,NA
"50672726-d063-4671-bfc4-6bbdb444c8d4","8c039db0-d986-4fc6-b6f8-a96c34eff50b","D06","MCDI","MCDI.AOS.discharge","ARIDDLE","2019-07-18T14:13Z","2019-07-18T14:13Z",0.7,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",58.19,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter",0,0,0,0,0,0,0,NA
"5a1077d1-5b29-445e-83e2-4ae211d0458a","ad29440e-59af-4ebc-b27c-2bd2820c0f7d","D06","MCDI","MCDI.AOS.discharge","EGAWANDA","2019-08-06T14:53Z","2019-08-06T14:53Z",0.69,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",24.58,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter",0,0,0,0,0,0,4,NA
