"uid","recorduid","domainID","siteID","namedLocation","collectedBy","startDate","collectDate","streamStage","streamStageUnits","handheldDeviceID","velocitySensorID","filterParamTime","stationEntryTest","flowCalculation","waterEdge","totalDischarge","totalDischargeUnits","samplingProtocolVersion","averageVelocityUnits","waterDepthUnits","tapeDistanceUnits","flowCalcQF","dischargeUnitsQF","streamStageUnitsQF","averageVelocityUnitsQF","waterDepthUnitsQF","tapeDistanceUnitsQF","lowVelocityFinalQF","waterYearToInclude","waterYearToIncludeNotes","dataQF","publicationDate"
"952d6e23-d126-465a-ab90-c276d70dcc66","8a90894a-3a0b-44ef-ac8d-b899f2549570","D11","BLUE","BLUE.AOS.discharge","KMJ",2019-03-19 15:32:00,2019-03-19 15:32:00,0.47,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",4281,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T133136Z"
"1b87f4ad-51b3-489f-8008-c0be75df1720","002b8ca7-7b7b-47ae-b877-c31ee2fc22a8","D11","BLUE","BLUE.AOS.discharge","CWB",2019-03-21 05:33:00,2019-03-21 05:33:00,0.47,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",3762,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T133136Z"
"24f4d322-5170-411d-813f-65c5d0681547","4bacdd50-da5c-45d1-93e3-3314d7a4691c","D11","BLUE","BLUE.AOS.discharge","CWB",2019-04-04 05:36:00,2019-04-04 05:36:00,0.44,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",3107,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T140246Z"
"ea72c06f-ab3e-403a-ba3f-95db717176f3","7b6c6c2b-9fdb-4404-8a2f-bc24310ac5d6","D11","BLUE","BLUE.AOS.discharge","KMJ",2019-04-09 19:04:00,2019-04-09 19:04:00,0.43,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",3291,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T140246Z"
"cea8b1bc-9ddf-40b4-b5aa-08c665db7821","42a82c28-561b-4060-95e7-4bd8a0c8d330","D11","BLUE","BLUE.AOS.discharge","KMJ",2019-04-11 05:32:00,2019-04-11 05:32:00,0.43,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",3409,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T140246Z"
"0d49c083-e689-4930-8e5f-3d6c60f017cc","6fc70401-2550-41c4-a56f-de78ea83e7bb","D11","BLUE","BLUE.AOS.discharge","CWB",2019-05-07 16:43:00,2019-05-07 16:43:00,0.5,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",4931,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T142440Z"
"ad8143a1-f531-4159-a563-1f4a43fb4d43","89d2be96-ed1b-44f7-b619-f46443f4ee85","D11","BLUE","BLUE.AOS.discharge","NAF",2019-05-30 18:19:00,2019-05-30 18:19:00,0.51,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",6153,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T142440Z"
"ca46c0a3-ed7b-4edf-aa51-3ff8868c1f39","e22eedcf-8d14-4b45-b41f-8dcfecbabf89","D11","BLUE","BLUE.AOS.discharge","KMJ",2019-06-12 05:29:00,2019-06-12 05:29:00,0.45,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",5065,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T133037Z"
"e13c84d6-04d5-453d-add3-e5b6dd1582ee","fe4b91b1-70fa-4b14-b880-ac82cbb32306","D11","BLUE","BLUE.AOS.discharge","NAF",2019-06-17 05:16:00,2019-06-17 05:16:00,0.45,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",4152,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T133037Z"
"9d8349c3-de31-425f-b61a-f02375d57eb9","93f6c303-774a-466b-9322-8092fe1a49e4","D11","BLUE","BLUE.AOS.discharge","NAF",2019-07-16 05:15:00,2019-07-16 05:15:00,0.39,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",2842,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,3,NA,NA,NA,"20200414T134435Z"
